DIM_INDICATOR_id,DIM_INDICATOR_name,DIM_TIME_year,DIM_TIME_month,DIM_LOCATION_id,DIM_SOURCE_id,FACT_value
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2014,12,PAK,KAGGLE_PAK_ECONOMY,17.55
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2015,12,PAK,KAGGLE_PAK_ECONOMY,16.56
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2016,12,PAK,KAGGLE_PAK_ECONOMY,14.9
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2017,12,PAK,KAGGLE_PAK_ECONOMY,16.0
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2018,12,PAK,KAGGLE_PAK_ECONOMY,19.36
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2019,12,PAK,KAGGLE_PAK_ECONOMY,16.91
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2020,12,PAK,KAGGLE_PAK_ECONOMY,16.95
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2021,12,PAK,KAGGLE_PAK_ECONOMY,20.85
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2022,12,PAK,KAGGLE_PAK_ECONOMY,21.25
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2023,12,PAK,KAGGLE_PAK_ECONOMY,16.37
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2024,12,PAK,KAGGLE_PAK_ECONOMY,14.2
IND_IMPORTS_GDP_PCT,Imports of goods and services (% of GDP),2025,12,PAK,KAGGLE_PAK_ECONOMY,14.87
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2000,12,PAK,KAGGLE_PAK_ECONOMY,43.9
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2001,12,PAK,KAGGLE_PAK_ECONOMY,45.0
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2002,12,PAK,KAGGLE_PAK_ECONOMY,46.0
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2003,12,PAK,KAGGLE_PAK_ECONOMY,47.0
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2004,12,PAK,KAGGLE_PAK_ECONOMY,48.7
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2005,12,PAK,KAGGLE_PAK_ECONOMY,50.5
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2006,12,PAK,KAGGLE_PAK_ECONOMY,52.0
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2007,12,PAK,KAGGLE_PAK_ECONOMY,53.6
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2008,12,PAK,KAGGLE_PAK_ECONOMY,54.2
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2009,12,PAK,KAGGLE_PAK_ECONOMY,55.5
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2010,12,PAK,KAGGLE_PAK_ECONOMY,57.7
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2011,12,PAK,KAGGLE_PAK_ECONOMY,58.1
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2012,12,PAK,KAGGLE_PAK_ECONOMY,58.9
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2013,12,PAK,KAGGLE_PAK_ECONOMY,60.1
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2014,12,PAK,KAGGLE_PAK_ECONOMY,60.9
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2015,12,PAK,KAGGLE_PAK_ECONOMY,58.0
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2016,12,PAK,KAGGLE_PAK_ECONOMY,59.4
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2017,12,PAK,KAGGLE_PAK_ECONOMY,60.0
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2018,12,PAK,KAGGLE_PAK_ECONOMY,62.3
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2019,12,PAK,KAGGLE_PAK_ECONOMY,62.8
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2020,12,PAK,KAGGLE_PAK_ECONOMY,58.0
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2021,12,PAK,KAGGLE_PAK_ECONOMY,59.1
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2022,12,PAK,KAGGLE_PAK_ECONOMY,60.1
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2023,12,PAK,KAGGLE_PAK_ECONOMY,62.3
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2024,12,PAK,KAGGLE_PAK_ECONOMY,63.0
IND_LITERACY_RATE_PCT,"Literacy rate, adult total (% of people ages 15+)",2025,12,PAK,KAGGLE_PAK_ECONOMY,64.0
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2000,12,PAK,KAGGLE_PAK_ECONOMY,0.3
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2001,12,PAK,KAGGLE_PAK_ECONOMY,0.6
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2002,12,PAK,KAGGLE_PAK_ECONOMY,1.8
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2003,12,PAK,KAGGLE_PAK_ECONOMY,3.3
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2004,12,PAK,KAGGLE_PAK_ECONOMY,7.7
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2005,12,PAK,KAGGLE_PAK_ECONOMY,12.3
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2006,12,PAK,KAGGLE_PAK_ECONOMY,34.5
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2007,12,PAK,KAGGLE_PAK_ECONOMY,55.1
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2008,12,PAK,KAGGLE_PAK_ECONOMY,58.3
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2009,12,PAK,KAGGLE_PAK_ECONOMY,57.7
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2010,12,PAK,KAGGLE_PAK_ECONOMY,61.3
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2011,12,PAK,KAGGLE_PAK_ECONOMY,65.5
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2012,12,PAK,KAGGLE_PAK_ECONOMY,72.6
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2013,12,PAK,KAGGLE_PAK_ECONOMY,71.2
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2014,12,PAK,KAGGLE_PAK_ECONOMY,73.2
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2015,12,PAK,KAGGLE_PAK_ECONOMY,72.3
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2016,12,PAK,KAGGLE_PAK_ECONOMY,69.7
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2017,12,PAK,KAGGLE_PAK_ECONOMY,72.1
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2018,12,PAK,KAGGLE_PAK_ECONOMY,77.2
IND_MOBILE_PER_100,Mobile cellular subscriptions (per 100 people),2019,12,PAK,KAGGLE_PAK_ECONOMY,76.0
